query,classlabel
Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message,good
Bug wizards restoring password Stack Overflow error ocurrs,bad
Bug filetransfer support NTLMv authentication httpclient provider,bad
Bug Discovery Zookeeper Zookeeper unit tests crash system exit FileNotFoundException File Exception,good
Bug filetransfer apply additions fixes genuitec patch,bad
Bug XMPP doesn work port Google Talk Host,good
Bug remove code org eclipse ecf provider discovery,bad
Bug ClassCastException SOContainerGroup SSLServerContainerGroup Exception SOContainer Group SSLServer Container Group,bad
Bug Discovery DNS NPE system sets search path,good
Bug Discovery DNS NPE test comparator expected property missing,good
Bug Discovery Whitespaces allowed property,bad
Bug TCK Bug handling multiple versioned exports single,bad
Bug Discovery JMDNS parsing problem service type defines naming authority,good
Bug Discovery discovery tests build ecf project org,bad
Bug handling exported service version,good
Bug ECF provider thread interlock,bad
Bug RestNamespace getInitFromExternalForm Namespace Init External Form,good
Bug Distribution Provider exceeds startup time limit existing services,bad
Bug IRC Wrong connection click hyperlink,good
Bug connect collaboration nickname empty,good
Bug room tab clicked NullPointerException occurred Pointer Exception,good
Bug MSN mail password entered Finish button clicked,bad
Bug SCP file browse capability files,good
Bug ClassCastException RSA intents String Exception,good
Bug patch Smack ECF discards ASCII VCard data,good
Bug Confirm Close Collaboration dialog wrong,bad
Bug Discovery JMDNS URI path lost discovery,good
Bug remoteservices AbstractClientContainer registerCallables problem Client Container register Callables,good
Bug OSGi add system property prevent usage InetAddress getLocalHost getCanonicalHostname Inet Address Local Host Canonical Hostname,good
Bug ColaSynchronizationStrategy instantiates Booleans unnecessarily Cola Synchronization Strategy,good
Bug irc bot Bot forgets preset commands fails write browseable version,good
Bug Collab Cola Real Time Shared Editor support multi character operations,bad
Bug bug Activator registry,bad
Bug IRC Unable close chatroom tab wrong join command,good
Bug IRemoteFileInfo getLastModified doesn behave IRemote File Info Modified,good
Bug Wizard handling IRC IDs fundamentally wrong special chatroom handling code,good
Bug Service Discovery view working osgiservices,bad
Bug deserializeSharedObjectMessage custom problem deserialize Shared Object Message,good
Bug messages view CTabFolders doesn follow appearance settings CTab Folders,good
Bug remoteserviceadmin org eclipse ecf osgi services remoteserviceadmin sets jre compilation profile API,good
Bug Discovery Composite Clear nested discovery containers unset targetID CompositeDiscoveryContainer disposed target Composite Discovery Container,good
Bug Discovery JMDNS Intermittent dead lock issues JMDNSDiscoveryContainer JMDNSDiscovery Container,good
Bug HttpClient http content ISO UTF Http Client,bad
Bug IRC Connection Wizard filters character,good
Bug ECF Server Application launch config,bad
Bug xmpp Google talk provider hobbled existence gmail string,good
Bug connect MSN,good
Bug Discovery Zeroconf JMDNS doesn translate scope protocols naming authority internal vice versa,good
Bug core improve error message container type,bad
Bug irc channel output copy select works incorrectly,good
Bug xmpp Disconnected users resource IDs removed roster,good
Bug remote exported configs String Collection String,bad
Bug RemoteServices MethodInvocationDialog parameter setting clumsy unwieldy Remote Services Method Invocation Dialog,good
Bug Discovery SLP ClassCircularityError bundle activation Circularity Error,good
Bug server supporrt remoteservice container adapter server,bad
Bug Discovery ZooDiscovery silencing zookeeper startup publish shutdown Zoo Discovery,bad
Bug Infinite recursive call Zookeeper DiscoveryActivator Discovery Activator,good
Bug LogService implementation misses details logging Log Service,good
Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy,good
Bug JMDNSDiscoveryContainer doesn getProperty JMDNSDiscovery Container Property,good
Bug NPE AbstractTopologyManager shutdown Topology Manager,good
Bug IRC channel join rid entered spam,bad
Bug NPE thrown shutting Eclipse connection provider,bad
Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin Service,good
Bug TCK RSA events properties incorrectly,good
Bug Discovery view incapable handling duplicate elements,good
Bug IRCChannelContainer NPE disconnect connection timeouts IRCChannel Container,good
Bug resolution confused typedef,bad
Bug abstraction ECF,bad
Bug Discovery JMDNS connect swallows root JMDNS exception,good
Bug ecf Improve server side keepAlive handling Alive,bad
Bug content assist Code assist closes list filter items,bad
Bug msn MSNContainer sendPresenceUpdate NullPointerException UNAVAILABLE send Presence Update Pointer Exception,good
Bug filetransfer httpclient Timeout unit test org eclipse ecf tests filetransfer URLRetrievePauseResumeTest testReceiveFile URLRetrieve Pause Resume Test test Receive File,good
Bug Discovery JmDNS JmDNS binding loopback DNS DNS,good
Bug docshare insufficient cleanup editor closing,good
Bug remoteservices RegistrySharedObject handleCallRequest Registry Shared Object handle Call Request,good
Bug Discovery Composite container register registered services providers,good
Bug Discovery jSLP ServiceName illegal characters SLP Service,good
Bug ReplicaSharedObjectDescription toString thread safe Replica Shared Object Description String,good
Bug Discovery resilient broken hostnames,bad
Bug Discovery Composite CompositeDiscoveryContainer advertisers locator Composite Discovery Container,good
Bug filetransfer httpclient Test failures org eclipse ecf tests filetransfer URLRetrieveTest URLRetrieveTestWithConnectJob testFTPReceiveFile URLRetrieve Test URLRetrieve Test Connect Job test FTPReceive File,good
Bug Discovery Composite CDC add container locator list,good
Bug Discovery zeroconf services,bad
Bug Discovery jSLP path supported SLP,good
Bug ColaDocumentChangeMessage constants hard coded integers Cola Document Change Message,good
Bug msn NotificationSession IllegalArgumentException NLN notifications Notification Session Illegal Argument Exception,good
Bug Discovery Composite junit framework AssertionFailedError registered service Assertion Failed Error,bad
Bug ContainerFactoryTracker tracks wrong Container Factory Tracker,good
Bug Discovery Zookeeper Auto reconnect issue,bad
Bug filetransfer add defeat protocol factory extension contributions,good
Bug remoteservices test TwitterRemoteServiceTest failing connect twitter service Twitter Remote Service Test,good
Bug JMDNS Discovery Thread slowing shutdown,bad
Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync,good
Bug AbstractConsumerContainerSelector matchSupportedConfigs test empty array Consumer Container Selector match Supported Configs,good
Bug send file functionality fails launches exception org eclipse ecf core SharedObjectCreateException Shared Object Create Exception,bad
Bug pause reads entire resource HttpClient provider Http Client,bad
Bug remoteservices registry start remote service ids,bad
Bug remotesvcs RegistrySharedObject handle NPE Registry Shared Object,good
Bug jms connect sequence timing problem,good
Bug Bittorrent bencode decoder parse dictionary list,good
Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory,good
Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener,bad
Bug remoteservices insufficient cleanup RegistrySharedObject handleCallResponse Registry Shared Object handle Call Response,good
Bug RemoteSrvs Change InetAddress getLocalHost getCanonicalHostName localhost Remote Srvs Inet Address Local Host Canonical Host,good
Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions,good
Bug FileTransferInfo shares properties instances File Transfer Info,good
Bug server add convenience api,bad
Bug Base classname disambiguated Java,bad
Bug Improved retrieval remote filename,bad
Bug Discover SLP invalid service property SLP,bad
Bug Discovery SLP optional IServiceID getServiceName isn service discovery registration IService Service,good
Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP,good
Bug JMDNS provider shutdown fails NPE connect successful,good
Bug presence xmpps accounts contacts list,good
Bug MSN CPU usage increases connecting,bad
Bug NullPointerException tracing org eclipse ecf core util Trace catching Pointer Exception,good
Bug org eclipse ecf server GenericServerContainerGroupFactory isSSLTransportSpecified Map API compatible bundle BREE Server Container Group Factory SSLTransport,good
Bug Discovery JMDNS JMDNS exchanges priority weight,good
Bug message XMPP Server displayed,bad
Bug provider connect receive hyperlink,good
Bug Discover Composite Test listener received expected discovery event expected,bad
Bug Shared Editor notification connect disconnect connection,bad
Bug Contacts view menu entries disabled logged,good
Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn SecurityException JSLPService Info IService Info Security Exception,good
Bug NullPointerException PollingInputStream readPendingInput Pointer Exception Polling Input Stream read Pending Input,good
Bug RemoteCallParameter Builder preserve parameter order Remote Call Parameter,good
Bug Discovery JMDNS JMDNSServiceIDTest testServiceIDFactory fails JMDNSService IDTest test Service IDFactory,good
Bug Discovery JmDNS IServiceTypeID naming authority DNS IService Type,good
Bug discovery zookeeper location URI include port,good
Bug Imports org xml javax xml manifest,bad
Bug Missing NLS message,bad
Bug ClassCastException handling osgi event handler topics Exception,good
Bug open contacts dialog doesn recognize users groups,bad
Bug osgi simplify implementation getRemoteServiceReferences Remote Service References,good
Bug IRC provider doesn fire IContainerDisconnectingEvents IContainer Disconnecting Events,good
Bug IRC Patch commands Root Channel Containers,good
Bug Containers instantiated time wizard opens,good
Bug Discovery jSLP Provider doesn handle scope correctly SLP,good
Bug server bundle shutdown NPE,bad
Bug Provider prints error message log unnecessarily conditions,bad
Bug SSLServerSOContainerGroup close ServerSocket disposing SSLServer SOContainer Group Server Socket,good
Bug IRC messages handled,bad
Bug Local access local remoteservicereference implemented,bad
Bug releng filetransfer Removed javax microedition,bad
Bug transport Update site contacting downloading cancelable,good
Bug Illegal reference URI compareTo URI org eclipse ecf identity compare,good
Bug NPE contacts browse dialogt,bad
Bug SharedObjectDatashareContainerAdapter dispose IChannel removeChannel called Shared Object Datashare Container Adapter remove Channel,good
Bug Regression Exception thrown preview report design,bad
Bug wizards Passwords reset user input username field,bad
Bug remoteserviceadmin Service Info publish endpointDescription endpoint Description,bad
Bug DNS Tests fail missing listener implementation,good
Bug wizards Weak mail address validation User field,bad
Bug Discovery jmdns JMDNSDiscoveryContainer implementation JMDNSDiscovery Container,good
Bug XMPP Room subject updated xmpp chat,good
Bug ecf collab contribute presence container,good
Bug RestClientService ignores content encoding Client Service,good
Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers,good
Bug ShowImageShell appears leak Image Image Shell,good
Bug Discovery DNS NPE SRV record accompanying TXT records,good
Bug IRC kick ban unban deop commands parse error,good
Bug remoteserviceadmin IOException readEndointDescriptions error creation read Endoint Descriptions,good
Bug Discovery DNS DnsSdDiscoveryException subclass ECFRuntimeException Dns Discovery Exception ECFRuntime Exception,good
Bug ClassCastException JUnit integration tests Exception,bad
Bug RestClientService invokeRemoteCall exception successful HTTP operation returns HTTP status Client Service invoke Remote Call,good
Bug called DocShares ECF group handling Doc Shares,good
Bug Discovery jmdns protocol incorrectly uri protocol,good
Bug Bug UserLibrary hashCode User Library hash Code,good
Bug External folders project created,good
Bug Incorrect syntax diagnosis source mode,bad
Bug ArrayIndexOutOfBoundsException compiler feeding real java code Array Bounds Exception,bad
Bug Useless call getSource SourceTypeConverter Source Source Type Converter,good
Bug compiler NPE WildcardBinding signature Wildcard Binding,bad
Bug compiler compiler accepts normal modifiers type arguments,bad
Bug compiler API compatibility AST TypeReference Type Reference,bad
Bug DOM AST missing type parameters constructor declaration JLS,good
Bug Javadoc CompilationParticipant isAnnotationProcessor accurate Compilation Participant Annotation Processor,good
Bug Formatter inserts space comment,good
Bug Compiler regression,bad
Bug Source attachment rootpath field missing,good
Bug resource leaks org eclipse jdt compiler tool tests,bad
Bug formatter Comments indentation error javadoc statements,good
Bug typo javadoc ClassInstanceCreation Instance Creation,good
Bug NPE enum missing contructor,good
Bug Strange behavior errors max errors compilation unit,good
Bug Test failure Compliance compliance,bad
Bug Error location correct empty array initializer,bad
Bug Investigate failures,bad
Bug compiler CaptureBinding substituteInferenceVariable Capture Binding substitute Inference Variable,good
Bug IllegalStateException Bad AST node structure ASTConverter Illegal Exception,bad
Bug content assist Disable remove substring completion Preferences,good
Bug positive reference analyzer negated,bad
Bug AST newCompilationUnit javadoc error Compilation Unit,bad
Bug typo javadoc IPackageFragmentRoot isArchive IPackage Fragment Root Archive,good
Bug classpath file read modifications write error,bad
Bug Small problem enumerations statements,bad
Bug Don encoding generated file change,good
Bug JavaModel refreshExternalArchives happen search primed Java Model refresh External Archives,bad
Bug perform validateEdit setting encoding validate Edit,good
Bug compiler Typeids unique plausibly broken cherry picking,bad
Bug Compile error HEAD AptConfigurationBlock Apt Configuration Block,good
Bug OutOfMemory error building large project annotations Memory,bad
Bug compiler hook lambda expressions analysis,good
Bug Deleted configs remain favorite list,bad
Bug compiler identifier lambda parameter rejected,good
Bug compiler Wrong pointer access variable location warning,good
Bug SearchEngine regressions Search Engine,bad
Bug JDT impl sun mirror util Types isAssignable returns wrapper primitive assignment Assignable,bad
Bug Assertion failure search,bad
Bug Compliance test fails launched JRE Dcompliance,bad
Bug deleteDerivedResources ignore ResourceException delete Derived Resources Resource Exception,good
Bug Wrong message content Javadoc,bad
Bug code assist NPE LocalDeclaration resolve anonymous lambda body Local Declaration,bad
Bug Breaking inconsistency java nio Charset java Eclipse,bad
Bug compiler missing type inference,bad
Bug correct project file encodings Unix delimiter,bad
Bug DOM Confusion type annotations varargs method parameter,good
Bug Annotation bindings don provide declared elements methods,good
Bug compiler internal Remove forcing creation annotated bindings,bad
Bug AIOBE content assist,good
Bug Move top level doesn optimize imports refactoring,good
Bug compiler syntax error ARROW COLON COLON shouls,bad
Bug TypeBinding TypeReference parameter type annotations Type Binding Type Reference,good
Bug javadoc nested unescaped XML tags,bad
Bug define JRE build targeting BETA JAVA,bad
Bug IdeJavaSourceOutputStream charset Ide Java Source Output Stream,good
Bug Tests fail org eclipse jdt compiler tool tests CompilerInvocationTests JRE Compiler Invocation Tests,good
Bug Failure testAddNonJavaResourcePackageFragmentRoot disabled test Add Java Resource Fragment Root,good
Bug compiler Follow bug explicit constructor calls allocation expressions updates,good
Bug DOM clients control bindings AST modified,good
Bug File encoding save,good
Bug Method analysis misses bunch cases,bad
Bug GlobalActions File Save fails entering valid file Global Actions,bad
Bug Bad Javadoc link ImportRewrite create ICompilationUnit Rewrite ICompilation Unit,good
Bug compiler compiler find correct parameterized version overloaded method,good
Bug compiler AIOOBE ClassFile dumpTargetTypeContents File dump Target Type Contents,good
Bug NPE failures Parser,bad
Bug assist Wrong proposals order completing item array,good
Bug compiler source files lead eclipse hang copy paste,good
Bug dom Incorrect source ranges annotated SimpleType nested ParameterizedType Simple Type Parameterized Type,good
Bug code assist members appearing declaration member lambda expression suggested,good
Bug Enable Java model caches recover errors,good
Bug compiler codegen Resilience NPE needed Scope getJavaLangInvokeMethodHandlesLookup Java Lang Invoke Method Handles Lookup,bad
Bug inference capture array resolution error,bad
Bug assist proposed writing method declarations,bad
Bug compiler AbstractMethodError method Method Error,bad
Bug Failures CompilerInvocationTests Compiler Invocation Tests,good
Bug Stackoverflow autocomplete lambdas,bad
Bug LambdaExpressionsTest test fails Lambda Expressions Test,good
Bug Compiler regression,bad
Bug compiler Java Compile Error typed arguments,good
Bug formatter Spaces removed formatted region compilation unit,good
Bug compiler Type annotations intersection types dropped code generator,good
Bug DefaultASTVisitor doesn override methods ASTVisitor,good
Bug compiler Type annotations dropped call routed synthetic bridge method,good
Bug Inconsistent stack error Java,bad
Bug Builder debug info wrongly accuses user requesting full build,good
Bug compiler identifier trigger diagnostic,bad
Bug compiler NPE TYPE annotated method missing type,bad
Bug compiler Target meta annotations restored properly binary annotation types,good
Bug compiler java lang AbstractMethodError executing method code Method Error,good
Bug formater Empty lines affect indentation wrapped elements,good
Bug Typo javadoc AptPreferenceConstants PROCESSING EDITOR DISABLED OPTION Apt Preference Constants,good
Bug Deadlock JavaModelManager PerProjectInfo DeltaProcessingState Java Model Manager Project Info Delta Processing,good
Bug compiler issue vararg type element accessibility,good
Bug Missing warnings Wildcards annotations,bad
Bug API SwitchStatement statements returns list SwitchGroups Statement Groups,good
Bug Wrong Delta Adding Filtered Folder,good
Bug Error website,bad
Bug search references workspace enum type statically importing enum constant,good
Bug enclosing method error EJC compiled works fine oracle jdk compiler,good
Bug ASTVisitor preVisit ASTVisitor postVisit called correctly pre Visit post Visit,good
Bug compiler codegen race condition field CodeStream noVisibleLocals method CodeStream init Code Stream Visible Locals Code Stream,bad
Bug ASTRewrite type annotations adds additional,good
Bug Resource exist,bad
Bug generics Unexpected type mismatch error nested types generics,good
Bug dom javadoc support type parameter Javadoc tags,bad
Bug linear progress open type dialog,bad
Bug compiler incorrect merge flowInfo UnconditionalFlowInfo addInitializationsFrom flow info flow Info Unconditional Flow Info add Initializations,bad
Bug compiler extraneous bound mismatch error,good
Bug compiler Ambiguous method Lambdas,good
Bug FUP bug java eclipse core runtime recognized org eclipse core runtime,good
Bug EclipseCompiler crashes err passed client Eclipse Compiler,good
Bug compiler Incompatible type lambda expression parameter,good
Bug error message reference compiler,bad
Bug Add protection missbehaving container returning entries,good
Bug builder Build automatically save,bad
Bug compiler FUP bug consolidate interaction unboxing NPE deferred checking,good
Bug compiler Java compiler erroneously reports type mismatch,good
Bug compile Java code,bad
Bug compiler Verify error varargs inference,good
Bug Unnecessary validation optional library classpath entries,good
Bug check interaction methods bridge methods generics,good
Bug Java array varargs regression,good
Bug ResourceLeakTests testBug failed Resource Leak Tests test Bug,good
Bug org eclipse jdt internal compiler batch Main initializeAnnotationProcessorManager consumes ClassNotFoundException initialize Annotation Processor Manager Exception,good
Bug compile ecj reports Error javac doesn,good
Bug code assist Invoking code assist variable initialized lambda result,good
Bug Investigate failures,bad
Bug compiler Adding potential mark unexpected assertion compiling,good
Bug compiler org eclipse jdt internal compiler ast OperatorExpression nullStatus FlowInfo conservative Expression Status Flow Info,bad
Bug IndexManager accept jobs processing thread Manager,good
Bug adopt syntax annotations qualified type names NullTypeAnnotationTest Type Annotation Test,bad
Bug compiler NPE reporting invalid enclosing type,bad
Bug formatter Indent Empty lines option doesn work empty blocks,good
Bug compiler Incongruent Lambda Exception thrown,good
Bug Problem classes referenced jars folders type resolved,bad
Bug formatter Problems doc comment support disabled,good
Bug Forbidden types Code Assist,good
Bug search Search references fields potential matches,good
Bug Proprietary licenses,bad
Bug combine type annotations substitution parameterized type,bad
Bug Error creating external annotation array parameter Type format,bad
Bug compiler allocate extra bits methods UnconditionalFlowInfo Unconditional Flow Info,good
Bug Investigate failures,bad
Bug InstructionPointerContext reference closed editor Instruction Pointer Context,good
Bug ObjectCollectedException shutting tests Object Collected Exception,good
Bug Deadlock checkout java project,bad
Bug source lookup launching string variables bootpath launch dialog stay,bad
Bug Add Java Exception Breakpoint dialog truncated text checkboxes font size increased,bad
Bug buttons incorrectly enabled classpath tab,bad
Bug Breakpoint condition editor height hint,good
Bug breakpoints external source,bad
Bug Sharing launch config difficult INSTALL,bad
Bug Source selected element Java Snippet Editor,bad
Bug JDIDebugTarget adds breakpoints terminated disconnect JDIDebug Target,good
Bug Ctrl Space working Scrapbook,good
Bug Bad usages URL equals Object,good
Bug CellEditors NPE JFace cell editor variables view Cell Editors,bad
Bug Unneccessary error logging detail formatter manager,good
Bug registry API,good
Bug sun jdi ObjectCollectedException breakpoint condition evaluation Object Collected Exception,bad
Bug DCR Debugger uncaught exception,bad
Bug breakpoints NPE attempting breakpoint,bad
Bug Enable compiler compliance,good
Bug debug Debugging doesn work properly classes,good
Bug NPE JavaDetailFormatterManager Java Detail Formatter Manager,good
Bug inspect display methods,bad
Bug evaluation evaluation method generics work,bad
Bug Console format Japanese,good
Bug toggle selection treeitem variables view,bad
Bug CCE performing eval statement,bad
Bug Eval incompatible thread,bad
Bug NullPointerException PopupInspectAction close Pointer Exception Popup Inspect Action,good
Bug NPE shutdown debug remote launch,bad
Bug console deadlock ConsoleDocument ant execution autobuild Console Document,good
Bug error ConditionalJump Instruction Conditional Jump,good
Bug CCE performing evaluation autobox,bad
Bug step filters confuse stepping JSP stratum,good
Bug statement missing JavaBreakpointListenerProxy installingBreakpoint Java Breakpoint Listener Proxy installing Breakpoint,good
Bug JREs location installed JREs pref Mac search,good
Bug visual indication breakpoint condition,bad
Bug Missing EEs prevent project build,bad
Bug Launching failing missing optional project,good
Bug Update Javadoc locations docs api,good
Bug Deregistered launches removed JavaHCRManager Java HCRManager,bad
Bug watch expression tests fail,bad
Bug applet parameters trailing spaces,bad
Bug launch programs Linux java executable,good
Bug configs java packages copied output folder,good
Bug AST Exp Eval variable declaration don work array type variables,good
Bug Java Editor Disconnecting Debug Session,bad
Bug Hit count field small Settings detail pane,bad
Bug ThreadGroup Threads displayed Debug view parent didn threads Thread Group,good
Bug JDI ArrayIndexOutOfBoundsException debugging deleted breakpoints Array Bounds Exception,bad
Bug Gracefully handle partial absence,bad
Bug preferences step filtering pref persisted workbench restart,good
Bug Change dialogs,bad
Bug Evaluating Code Generics work debugging,bad
Bug test failure testSimpleLineCounter test Simple Counter,bad
Bug Problem implementation support JSR,good
Bug Invalid thread access RuntimeClasspathViewer preferenceChange err grp Runtime Classpath Viewer preference Change,good
Bug JavaLineBreakpoint thread safe CPU Java Breakpoint,good
Bug NPE JDIDebugTarget quering supportsInstanceRetrieval JDIDebug Target supports Instance Retrieval,good
Bug Action icon inconsistencies,bad
Bug JavaRuntime computeVMInstall method returns workspace compatible version launch configuration Java Runtime compute VMInstall,good
Bug NPE validating breakpoint location,good
Bug suspend uncaught exception compiler warning,good
Bug runnable previous exception,good
Bug Preference existant JREs,bad
Bug NPE saving file debugging ant task,bad
Bug Display View Undo,good
Bug ExpressionInputDialog dispose called Expression Input Dialog,good
Bug Debugger letting change String,bad
Bug Closed project error message problems,bad
Bug JDIModelPresentation resource IJavaStratumLineBreakpoint JDIModel Presentation IJava Stratum Breakpoint,good
Bug Debug honor multiple output folders,bad
Bug Loss suspended breakpoint,good
Bug Debugger looses selection focus lot thread stack debug,bad
Bug JREsPreferencePage java resizing problem JREs Preference,bad
Bug Resource exception JavaDebugOptionsManager initializeProblemHandling Java Debug Options Manager initialize Problem Handling,good
Bug Breakpoint unclear refactoring,bad
Bug regression display Error inspecting scrapbook,good
Bug LaunchingPlugin specification resourceCopyExclusionFilter Launching Plugin resource Copy Exclusion Filter,good
Bug JUnit JUnit recognize JunitTestCase Test superclass Junit Test,bad
Bug reference expressions lambdas file triggers warning missing numbers,good
Bug Pointer JavaBreakpoint Java Breakpoint,bad
Bug ParserConfigurationException load JREs Mac Parser Configuration Exception,good
Bug patch console source lookup Clicking Java stack trace hyperlink console unusably slow,good
Bug Unhandled event loop exception,bad
Bug Surrogate support JavaWordFinder Java Word Finder,good
Bug instance filter tests working,good
Bug JDT version sun jdi event EventSet doesn extend java util Event,good
Bug TVT TCT Text boxes ovelap borders,bad
Bug Error removing JRE,bad
Bug EventRequestManagerImpl addRequestIDMapping removeRequestIDMapping handle VMDeathRequests Event Request Manager Impl add Request IDMapping remove Request IDMapping VMDeath Requests,good
Bug Applet parameter quoted,good
Bug pass project classpath external programs defined builders,bad
Bug variables modify String variable empty string Change dialog,bad
Bug variables Variables Change accept hex,bad
Bug constantly method node variables view,bad
Bug REGRESSION threads longer expanded Debug view visible,bad
Bug ProjectCreationDecorator test fails Java Project Creation Decorator,good
Bug JRE container dialog empty combo,good
Bug org eclipse jdt debug test stepping ForceReturnTests depend specific behaviour Force Tests,good
Bug Reporting formatter errors,good
Bug ConnectionType remembered Remote Java Application Launch Config Connection Type,good
Bug Open Clipboard action report progress,good
Bug refactoring launch config refactoring project rename undo,good
Bug NPE JavaUISourceLocator remote debugging Java UISource Locator,good
Bug Launch configuration dialog doesn cancel launch,bad
Bug Don log VMDisconnectedException VMDisconnected Exception,bad
Bug Streams left open exception,bad
Bug Feature IJavaClassType IJava Type,good
Bug Internal error Lauch Configurations dialog,bad
Bug Drop frame failed evaluation message error dialog evaluation flag cleared,good
Bug Debugger confused watchpoints fields,bad
Bug type local variables displayed,bad
Bug java launching Applet parameters unusual characters confuse eclipse,good
Bug IllegalArgumentException Duplicate Illegal Argument Exception,bad
Bug NPE SocketConnection Socket Connection,good
Bug unable step suspended breakpoint evaluation,good
Bug ConcurrentModificationException ThreadMonitorManager Concurrent Modification Exception Thread Monitor Manager,good
Bug Nested type names correctly displayed,bad
Bug RuntimeProcess synchronize access fTerminated fExitValue Runtime Process Terminated Exit,good
Bug VMDisconnectedException caught breakpoint VMDisconnected Exception,good
Bug Error evaluating,bad
Bug hcr NPE hot code replace,good
Bug stepping conditional breakpoint,bad
Bug Problems project rename,bad
Bug detail formatter dialog missing code assist hint,good
Bug JDIThreads responding startup,bad
Bug IVMInstallType api AbstractVMInstallType impl thread safe IVMInstall Type VMInstall Type,good
Bug JREContainer hasChildren locks Children,bad
Bug Java editor caused NPE snippet editor,good
Bug Dialog font Breakpoints view,good
Bug Add Filter step filtering broken,bad
Bug Empty display view persisted,good
Bug Missing tags increment bundle version,bad
Bug Insp Display actions menu enabled scrapbook,bad
Bug Console input text properly eclipse console panel,good
Bug jres Changing installed JRE doesn warn compiler compliance compatible,good
Bug Selecting Ant Build launch configuration External Tools Configuration dialog NPE,good
Bug NPE killing Java process,bad
Bug breakpoint annotation Highlighted,bad
Bug Timeout exceptions,bad
Bug TVT TCT TVT Space missing colon sign French,bad
Bug codeassist work Display view,bad
Bug Blocked opening Java Perspective CVS check,bad
Bug compiler level product,bad
Bug ResourceMarkerAnnotaionModel unnecessary fireModelChange Resource Marker Annotaion Model fire Model Change,bad
Bug Launch configuration refactoring exceptions Entries Configuration vanish usage Eclipse IDE,bad
Bug Ant Editor range indication supported,bad
Bug Quotes execution arguments Java launch,bad
Bug java lang reflect InvocationTargetException thrown invoking Open Clipboard Invocation Target Exception,good
Bug eclipse SDK win Exception processing async thread queue,bad
Bug VMDefinitionsContainer parse ascii VMDefinitions Container,good
Bug Breakpoint remains enabled disabling setting hit count,bad
Bug CTRL Recognized EOF,good
